security_name,security_name_full,security_name_tiny,security_code
"ALBK [TQBR]","Бест Эффортс Банк ПАО ао","БестЭфБ ао",ALBK
"BRZL [TQBR]","Бурятзолото ПАО ао",БурЗолото,BRZL
"VSMO [TQBR]","Корп. ВСМПО-АВИСМА (ПАО) ао",ВСМПО-АВСМ,VSMO
"VTBR [TQBR]","ао ПАО Банк ВТБ","ВТБ ао",VTBR
"VLHZ [TQBR]","Владимирский химич.з-д(ПАО) ао",ВХЗ-ао,VLHZ
"VDSB [TQBR]",""Владимирэнергосбыт" ПАО","ВЭК 01 ао",VDSB
"VJGZ [TQBR]","Варьеганнефтегаз ПАО ао",Варьеган,VJGZ
"VJGZP [TQBR]","Варьеганнефтегаз ПАО ап",Варьеган-п,VJGZP
"VZRZ [TQBR]","Банк "Возрождение"-ао",Возрожд-ао,VZRZ
"VZRZP [TQBR]","Банк "Возрождение" - ап",Возрожд-п,VZRZP
"VGSB [TQBR]",""Волгоград.энергосбыткомп" ПАО",ВолгЭнСб,VGSB
"VGSBP [TQBR]",""Волгоград.энергосбыткомп" ПАО",ВолгЭнСб-п,VGSBP
"VSYD [TQBR]","Выборгский Суд.Завод ПАО ао","ВыбСудЗ ао",VSYD
"VSYDP [TQBR]","Выборгский Суд.Завод ПАО ап","ВыбСудЗ ап",VSYDP
"GAZA [TQBR]","ГАЗ ПАО ао","ГАЗ ао",GAZA
"GAZAP [TQBR]","ГАЗ ПАО ап","ГАЗ ап",GAZAP
"GAZT [TQBR]","ГАЗ-Тек ПАО ао","ГАЗ-Тек ао",GAZT
"GAZS [TQBR]","ГАЗ-сервис (ПАО) ао",ГАЗ-сервис,GAZS
"GAZC [TQBR]","ГАЗКОН (ПАО) ао",ГАЗКОН-ао,GAZC
"GAZP [TQBR]",""Газпром" (ПАО) ао","ГАЗПРОМ ао",GAZP
"GTSS [TQBR]","ГЕОТЕК Сейсморазведка ПАО ао","ГЕОТЕК ао",GTSS
"GRNT [TQBR]","ГородскиеИнновацТехнологии ао","ГИТ ао",GRNT
"GMKN [TQBR]","ГМК "Нор.Никель" ПАО ао",ГМКНорНик,GMKN
"GTRK [TQBR]","ПАО "ГТМ" ао","ГТМ ао",GTRK
"RTGZ [TQBR]","Газпром газорасп Р-н-Д ПАО ао","ГазпРнД ао",RTGZ
"SIBN [TQBR]","Газпром нефть ПАО ао",Газпрнефть,SIBN
"HALS [TQBR]","ПАО "Галс-Девелопмент"",Галс-Девел,HALS
"FESH [TQBR]","ДВ морское пароходство ПАО ао","ДВМП ао",FESH
"DVEC [TQBR]",""ДЭК" ПАО ао","ДЭК ао",DVEC
"DASB [TQBR]","ао Дагестанская энергосб.комп.","ДагСб ао",DASB
"DSKY [TQBR]","ПАО Детский мир",ДетскийМир,DSKY
"ZVEZ [TQBR]","ЗВЕЗДА ПАО ао","ЗВЕЗДА ао",ZVEZ
"ZILL [TQBR]","Завод им. И.А.Лихачева ПАО ао","ЗИЛ ао",ZILL
"DIOD [TQBR]","Завод ДИОД ПАО ао",ЗаводДИОД,DIOD
"RUSI [TQBR]","РУСС-ИНВЕСТ ИК ПАО ао",ИКРУСС-ИНВ,RUSI
"OPIN [TQBR]","ИНГРАД ПАО ао","ИНГРАД ао",OPIN
